계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
    숙박 및 음식점업,"11,645.2 ","11,721.0 ","11,785.2 ","11,637.8 ","11,650.4 ","11,775.2 ","11,937.7 ","11,682.1 ","12,126.2 ","12,153.8 ","12,220.9 ","12,263.7 ","12,700.3 ","12,594.1 ","12,532.8 ","12,744.9 ","11,075.8 ","10,782.1 ","10,430.0 ","9,533.7 ","9,957.6 ","10,855.0 ","11,077.0 ","12,158.2 ","11,083.7 ","12,531.9 ","13,113.5 ","13,237.2 ","12,990.8 ","12,320.2 ","12,470.5 ","12,891.6 ","13,212.8 ","12,178.8 ","12,260.1 ","12,696.4 "
  운수업,"17,463.7 ","17,652.7 ","17,545.5 ","17,175.3 ","17,853.2 ","17,824.3 ","18,061.5 ","18,426.8 ","18,388.5 ","18,871.7 ","18,915.1 ","19,394.0 ","19,147.0 ","19,114.0 ","19,169.0 ","19,578.2 ","17,717.4 ","15,770.4 ","16,462.9 ","16,653.2 ","17,821.8 ","18,455.0 ","18,347.6 ","19,010.1 ","19,634.4 ","20,857.0 ","20,825.3 ","21,431.4 ","20,922.9 ","23,438.9 ","23,836.8 ","24,620.1 ","23,830.0 ","25,412.8 ","25,687.6 ","25,840.6 "
  금융 및 보험업,"21,963.5 ","21,787.7 ","22,071.6 ","22,759.8 ","22,542.8 ","23,045.7 ","23,204.6 ","23,313.1 ","24,185.0 ","24,188.4 ","24,421.0 ","24,423.9 ","24,566.0 ","25,017.1 ","25,067.2 ","25,517.3 ","26,380.6 ","27,279.3 ","27,892.9 ","28,463.6 ","28,674.0 ","28,864.2 ","29,759.8 ","30,113.8 ","30,164.6 ","30,022.4 ","29,765.7 ","30,692.8 ","30,268.7 ","30,403.7 ","30,721.3 ","30,311.4 ","30,801.8 ","31,449.4 ","31,676.0 ","32,146.4 "
  부동산업,"34,903.6 ","35,509.5 ","36,094.6 ","36,323.2 ","36,794.4 ","36,627.4 ","36,951.7 ","37,103.8 ","38,184.3 ","38,047.4 ","37,968.7 ","38,202.4 ","38,627.2 ","38,588.1 ","38,814.3 ","39,412.0 ","39,623.3 ","40,178.7 ","40,679.2 ","40,548.9 ","41,061.8 ","41,296.0 ","40,788.7 ","40,594.5 ","40,270.0 ","39,995.1 ","40,064.7 ","40,117.9 ","40,088.1 ","40,182.9 ","40,278.9 ","40,208.9 ","40,756.4 ","41,554.4 ","41,210.7 ","40,742.6 "
  정보통신업,"18,097.2 ","18,552.2 ","18,935.3 ","18,810.2 ","18,856.5 ","18,745.1 ","19,561.8 ","20,045.6 ","20,197.0 ","20,158.2 ","20,453.7 ","20,433.6 ","21,201.0 ","21,385.3 ","21,320.3 ","21,669.2 ","22,314.3 ","22,326.8 ","21,939.6 ","22,634.6 ","23,459.6 ","24,022.1 ","24,650.8 ","25,380.9 ","24,361.4 ","25,090.0 ","25,337.6 ","24,998.0 ","25,312.3 ","24,704.3 ","25,427.1 ","25,437.3 ","26,245.3 ","24,900.8 ","25,436.2 ","25,643.4 "
    통신업,"4,262.3 ","4,343.3 ","4,373.0 ","4,341.6 ","4,283.8 ","4,287.3 ","4,348.6 ","4,353.5 ","4,473.7 ","4,514.1 ","4,562.9 ","4,624.7 ","4,969.5 ","4,968.8 ","5,090.4 ","5,167.2 ","5,348.9 ","5,451.2 ","5,533.3 ","5,701.2 ","5,731.0 ","5,815.2 ","6,014.5 ","6,173.6 ","6,302.2 ","6,394.9 ","6,493.6 ","6,569.5 ","6,637.7 ","6,758.0 ","6,756.1 ","6,813.3 ","6,808.4 ","6,888.1 ","6,913.2 ","6,998.6 "
"    출판, 방송, 영상, 정보서비스","13,826.3 ","14,210.9 ","14,588.6 ","14,495.7 ","14,623.7 ","14,497.9 ","15,301.2 ","15,820.2 ","15,818.5 ","15,722.9 ","15,976.5 ","15,872.6 ","16,260.3 ","16,456.4 ","16,236.0 ","16,509.9 ","16,979.6 ","16,881.1 ","16,396.2 ","16,923.7 ","17,728.6 ","18,206.9 ","18,636.3 ","19,207.3 ","18,102.4 ","18,728.5 ","18,881.8 ","18,484.6 ","18,733.1 ","18,044.5 ","18,742.7 ","18,703.8 ","19,480.5 ","18,129.8 ","18,620.9 ","18,748.6 "
  사업서비스업,"35,295.9 ","35,662.3 ","35,679.5 ","35,401.8 ","35,867.8 ","35,857.1 ","36,265.5 ","36,394.2 ","37,795.3 ","37,640.8 ","37,724.3 ","37,750.4 ","38,055.0 ","38,864.3 ","39,458.4 ","39,937.8 ","39,277.0 ","38,297.8 ","39,415.8 ","39,662.0 ","39,508.6 ","39,712.5 ","40,081.7 ","40,300.7 ","40,906.8 ","40,982.6 ","40,549.8 ","41,014.0 ","41,572.2 ","41,566.9 ","41,450.2 ","41,797.1 ","41,985.5 ","41,321.4 ","41,335.2 ","41,090.1 "
"    전문, 과학 및 기술관련 서비스업","20,622.5 ","20,586.7 ","20,357.8 ","20,126.4 ","20,272.0 ","20,136.2 ","20,199.0 ","20,079.7 ","20,893.6 ","20,939.2 ","21,047.1 ","20,975.5 ","20,993.0 ","21,441.4 ","21,771.6 ","22,052.7 ","22,226.3 ","21,847.8 ","22,379.6 ","22,775.5 ","23,149.3 ","23,167.2 ","23,199.5 ","23,607.9 ","23,851.3 ","24,093.1 ","24,090.0 ","23,861.0 ","24,289.6 ","24,493.8 ","24,484.8 ","24,242.2 ","24,542.6 ","24,238.6 ","24,328.5 ","23,833.4 "
    사업지원 서비스업,"14,739.8 ","15,125.4 ","15,355.1 ","15,303.4 ","15,616.9 ","15,733.4 ","16,068.0 ","16,303.3 ","16,900.4 ","16,704.6 ","16,682.3 ","16,777.1 ","17,059.2 ","17,420.0 ","17,684.1 ","17,882.8 ","17,050.1 ","16,450.2 ","17,036.0 ","16,887.2 ","16,359.3 ","16,545.3 ","16,882.2 ","16,692.8 ","17,056.3 ","16,881.7 ","16,441.3 ","17,156.0 ","17,281.4 ","17,062.4 ","16,952.0 ","17,562.0 ","17,441.3 ","17,077.3 ","16,997.4 ","17,263.8 "
