계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
  부동산업,"32,623.6 ","33,435.4 ","34,178.6 ","34,462.3 ","34,979.0 ","34,910.9 ","35,526.7 ","35,967.1 ","37,337.9 ","36,847.3 ","36,846.4 ","37,266.8 ","37,746.2 ","37,962.6 ","38,425.7 ","39,004.1 ","39,158.5 ","40,273.2 ","40,853.8 ","40,744.6 ","40,720.6 ","40,929.9 ","40,701.2 ","40,307.2 ","40,092.0 ","39,470.4 ","39,262.7 ","39,489.6 ","39,603.9 ","39,801.2 ","40,259.7 ","40,360.5 ","41,044.8 ","41,827.3 ","42,584.2 ","42,207.4 "
  정보통신업,"17,940.9 ","18,451.2 ","18,904.6 ","18,785.6 ","18,772.0 ","18,751.1 ","19,450.2 ","19,926.5 ","20,067.1 ","19,883.7 ","20,078.2 ","20,205.8 ","20,751.6 ","21,025.7 ","21,010.6 ","21,365.1 ","22,170.7 ","22,156.6 ","22,084.1 ","22,803.8 ","24,771.0 ","25,640.5 ","25,817.0 ","26,090.5 ","25,396.8 ","25,950.8 ","26,258.0 ","25,943.7 ","26,562.8 ","26,301.1 ","26,550.0 ","26,635.5 ","27,480.2 ","27,032.9 ","27,598.5 ","28,478.2 "
    통신업,"5,373.0 ","5,440.4 ","5,482.5 ","5,426.9 ","5,310.2 ","5,274.4 ","5,310.3 ","5,337.7 ","5,362.3 ","5,296.3 ","5,254.9 ","5,199.0 ","5,344.1 ","5,190.5 ","5,283.2 ","5,327.4 ","5,457.4 ","5,524.0 ","5,512.5 ","5,540.8 ","5,552.7 ","5,578.8 ","5,702.7 ","5,823.9 ","5,840.6 ","5,884.7 ","5,949.4 ","5,980.9 ","6,078.3 ","6,128.7 ","6,093.4 ","6,112.3 ","6,140.0 ","6,110.1 ","6,155.8 ","6,204.4 "
"    출판, 방송, 영상, 정보서비스","12,567.9 ","13,010.8 ","13,422.1 ","13,358.7 ","13,461.8 ","13,476.7 ","14,139.8 ","14,588.9 ","14,704.8 ","14,587.4 ","14,823.3 ","15,006.8 ","15,407.5 ","15,835.2 ","15,727.4 ","16,037.7 ","16,713.4 ","16,632.6 ","16,571.6 ","17,262.9 ","19,218.3 ","20,061.7 ","20,114.3 ","20,266.6 ","19,556.2 ","20,066.1 ","20,308.6 ","19,962.8 ","20,484.4 ","20,172.4 ","20,456.6 ","20,523.2 ","21,340.3 ","20,922.8 ","21,442.7 ","22,273.8 "
  사업서비스업,"30,923.7 ","31,237.3 ","31,495.4 ","31,445.3 ","32,049.6 ","32,488.6 ","33,274.9 ","33,510.7 ","35,029.2 ","35,211.5 ","35,489.9 ","35,786.0 ","36,151.7 ","37,638.5 ","38,221.8 ","39,028.4 ","38,894.2 ","38,191.1 ","39,534.6 ","40,032.6 ","40,382.3 ","41,337.0 ","41,755.0 ","42,624.3 ","43,583.8 ","44,674.4 ","44,122.4 ","45,256.1 ","46,233.1 ","46,700.8 ","46,474.8 ","47,345.0 ","48,294.3 ","47,750.8 ","47,648.6 ","48,195.5 "
"    전문, 과학 및 기술관련 서비스업","17,403.0 ","17,444.1 ","17,437.8 ","17,459.2 ","17,789.9 ","17,938.5 ","18,257.9 ","18,309.1 ","19,105.1 ","19,271.4 ","19,441.9 ","19,620.3 ","19,811.4 ","20,756.7 ","21,058.1 ","21,584.2 ","21,816.3 ","21,678.2 ","22,475.0 ","23,259.6 ","23,899.9 ","24,474.2 ","24,725.5 ","25,507.0 ","25,950.3 ","26,773.6 ","26,735.2 ","26,700.5 ","27,404.9 ","28,012.8 ","27,982.3 ","28,112.8 ","29,016.0 ","28,676.1 ","28,846.1 ","28,744.1 "
    사업지원 서비스업,"13,520.7 ","13,793.3 ","14,057.6 ","13,986.2 ","14,259.6 ","14,550.1 ","15,017.0 ","15,201.6 ","15,924.1 ","15,940.2 ","16,048.1 ","16,165.7 ","16,340.2 ","16,881.8 ","17,163.8 ","17,444.2 ","17,077.9 ","16,512.9 ","17,059.6 ","16,773.0 ","16,482.4 ","16,862.9 ","17,029.5 ","17,117.3 ","17,633.5 ","17,900.8 ","17,387.3 ","18,555.6 ","18,828.1 ","18,688.0 ","18,492.5 ","19,232.2 ","19,278.3 ","19,074.7 ","18,802.5 ","19,451.4 "
"  공공행정, 국방 및 사회보장","25,116.3 ","25,319.3 ","25,960.2 ","26,133.2 ","26,797.5 ","27,396.1 ","27,306.2 ","27,546.8 ","28,379.6 ","28,991.6 ","29,381.9 ","29,881.7 ","30,163.3 ","30,652.2 ","31,258.8 ","31,717.3 ","31,955.6 ","31,928.9 ","32,572.5 ","33,393.9 ","33,671.9 ","34,593.0 ","35,342.2 ","35,081.7 ","36,494.7 ","37,332.9 ","37,577.5 ","37,673.5 ","38,264.0 ","39,215.8 ","38,747.8 ","38,981.0 ","39,308.9 ","41,102.0 ","40,363.7 ","41,490.3 "
  교육서비스업,"20,112.1 ","20,289.3 ","20,509.6 ","20,953.9 ","20,892.1 ","20,840.5 ","21,091.2 ","21,476.1 ","21,725.4 ","21,964.1 ","22,063.7 ","22,041.1 ","22,254.0 ","22,845.5 ","22,940.3 ","23,297.4 ","22,264.5 ","22,739.6 ","22,539.7 ","22,892.3 ","23,618.5 ","24,083.8 ","24,377.0 ","24,783.3 ","25,154.7 ","25,336.4 ","25,354.7 ","25,736.1 ","25,764.3 ","25,740.1 ","26,252.6 ","26,160.0 ","26,805.5 ","26,427.6 ","26,662.0 ","26,886.6 "
"  의료, 보건업 및 사회복지서비스업","18,879.9 ","19,233.8 ","19,679.6 ","19,875.9 ","20,431.4 ","21,172.3 ","21,537.4 ","21,562.9 ","22,222.5 ","22,641.4 ","23,261.3 ","24,007.3 ","24,592.7 ","25,229.6 ","25,806.1 ","26,332.1 ","26,246.0 ","25,941.9 ","26,812.1 ","27,034.5 ","27,319.2 ","28,129.8 ","29,208.5 ","29,682.5 ","30,198.9 ","30,778.8 ","31,001.7 ","31,539.7 ","32,339.0 ","32,648.3 ","33,145.8 ","33,862.7 ","34,405.6 ","34,236.6 ","35,058.6 ","36,009.1 "
